key,tag,selfTransfer,cost,draftMode,description,key:airline
# base entity
flight-00,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
# tag - standard variations
flight-01,L,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-02,Lo,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-05,โลเร็ม อิปซัม,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-06,لوريم إيبسوم,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-07,洛伦·伊普森,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-08,<marquee>Hacked</marquee>,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-09,<script>alert(‘Hacked!’);</script>,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
flight-10,' or 'A' = 'A,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-01
# tag - no singular values
# requires-self-transfer - standard variations
flight-11,Lorem ipsum dolor sit ame,TRUE,EUR 500.00,FALSE,Lorem ipsum,airline-01
# requires-self-transfer - no singular values
# cost - standard variations
flight-12,Lorem ipsum dolor sit ame,FALSE,EUR 0.00,FALSE,Lorem ipsum,airline-01
flight-13,Lorem ipsum dolor sit ame,FALSE,EUR 0.01,FALSE,Lorem ipsum,airline-01
flight-14,Lorem ipsum dolor sit ame,FALSE,GBP 999999.99,FALSE,Lorem ipsum,airline-01
flight-15,Lorem ipsum dolor sit ame,FALSE,USD 1000000.00,FALSE,Lorem ipsum,airline-01
# cost - no singular values
# draftMode - standard variations
flight-16,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
# draftMode - no singular values
# description - standard variations
flight-17,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,,airline-01
flight-18,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,L,airline-01
flight-19,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,Lo,airline-01
flight-20,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",airline-01
flight-21,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",airline-01
flight-22,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,โลเร็ม อิปซัม,airline-01
flight-23,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,لوريم إيبسوم,airline-01
flight-24,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,洛伦·伊普森,airline-01
flight-25,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,<marquee>Hacked</marquee>,airline-01
flight-26,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,<script>alert(‘Hacked!’);</script>,airline-01
flight-27,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,' or 'A' = 'A,airline-01
# description - no singular values
# airline - standard variations
flight-28,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,FALSE,Lorem ipsum,airline-02
# airline - no singular values
