key,flightNumber,scheduledDeparture,scheduledArrival,status,draftMode,key:flight,key:departureAirport,key:arrivalAirport,key:aircraft
# base entity
leg-00,FAX1000,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-00,airport-00,airport-01,aircraft-01
# flight-number - standard variations
leg-01,FAX0000,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-01,airport-00,airport-01,aircraft-01
leg-02,FAX0001,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-02,airport-00,airport-01,aircraft-01
leg-03,FAX9998,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-03,airport-00,airport-01,aircraft-01
leg-04,FAX9999,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-04,airport-00,airport-01,aircraft-01
# flight-number - no singular values
# scheduled-departure - standard variations
leg-05,FAX0002,2200/12/31 23:59,2200/12/31 23:59,ON_TIME,FALSE,flight-05,airport-00,airport-01,aircraft-01
leg-06,FAX0003,2200/12/31 23:58,2200/12/31 23:58,ON_TIME,FALSE,flight-06,airport-00,airport-01,aircraft-01
leg-07,FAX0004,2000/01/01 00:00,2010/01/01 15:00,ON_TIME,FALSE,flight-07,airport-00,airport-01,aircraft-01
leg-08,FAX0005,2000/01/01 00:01,2010/01/01 15:00,ON_TIME,FALSE,flight-08,airport-00,airport-01,aircraft-01
# scheduled-departure - no singular values
# scheduled-arrival - standard variations
leg-09,FAX0006,2010/01/01 20:00,2200/12/31 23:58,ON_TIME,FALSE,flight-09,airport-00,airport-01,aircraft-01
leg-10,FAX0007,2010/01/01 20:00,2200/12/31 23:59,ON_TIME,FALSE,flight-10,airport-00,airport-01,aircraft-01
leg-11,FAX0008,2000/01/01 00:00,2000/01/01 00:00,ON_TIME,FALSE,flight-11,airport-00,airport-01,aircraft-01
leg-12,FAX0009,2000/01/01 00:00,2000/01/01 00:01,ON_TIME,FALSE,flight-12,airport-00,airport-01,aircraft-01
# scheduled-arrival - no singular values
# status - standard variations
leg-13,FAX0010,2010/01/01 12:00,2010/01/01 15:00,DELAYED,FALSE,flight-13,airport-00,airport-01,aircraft-01
leg-14,FAX0011,2010/01/01 12:00,2010/01/01 15:00,CANCELLED,FALSE,flight-14,airport-00,airport-01,aircraft-01
leg-15,FAX0012,2010/01/01 12:00,2010/01/01 15:00,LANDED,FALSE,flight-15,airport-00,airport-01,aircraft-01
# status - no singular values
# draftMode - standard variations
leg-16,FAX0013,2030/01/01 12:00,2030/01/01 15:00,ON_TIME,TRUE,flight-16,airport-00,airport-01,aircraft-01
# draftMode - no singular values
# flight - standard variations
leg-17,FAX0014,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-17,airport-00,airport-01,aircraft-01
leg-18,FAX0015,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-18,airport-00,airport-01,aircraft-01
leg-19,FAX0016,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-19,airport-00,airport-01,aircraft-01
# flight - no singular values
# departure-airport - standard variations
leg-20,FAX0017,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-20,airport-20,airport-01,aircraft-01
leg-21,FAX0018,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-21,airport-10,airport-01,aircraft-01
leg-22,FAX0019,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-22,airport-37,airport-01,aircraft-01
# departure-airport - no singular values
# arrival-airport - standard variations
leg-23,FAX0020,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-23,airport-00,airport-20,aircraft-01
leg-24,FAX0021,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-24,airport-00,airport-10,aircraft-01
leg-25,FAX0022,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-25,airport-00,airport-37,aircraft-01
# arrival-airport - no singular values
# aircraft - standard variations
leg-26,FAX0023,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,FALSE,flight-26,airport-00,airport-01,aircraft-02
leg-27,FAX0024,2010/01/01 15:01,2010/01/01 18:00,ON_TIME,FALSE,flight-27,airport-00,airport-01,aircraft-49
leg-28,FBX0025,2010/01/01 15:01,2010/01/01 18:00,ON_TIME,FALSE,flight-28,airport-00,airport-01,aircraft-50
# aircraft - no singular values
