request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"7d524293-3940-4fad-9aa5-689836f8ee44",GET,/,"debug=true&locale=en",,302,,,,19002287007800,19002407146200,19002415866600
"b1b84ab2-da9d-434b-a16c-a7a9cf53e5df",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=554,,19002452962600,19002470827800,19009967143400
"bd825652-4b99-40ac-aa9f-037dcd7c48da",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,19010191966100,19010205885900,19010208275300
"a4f5f474-22c9-49d5-9dfa-69ed41300da1",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,19010227587200,19010233906900,19010236697300
"45c3a02e-03f9-464a-a46e-0f7d642fcf73",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,19010250081300,19010254147800,19010256085400
"40ecc659-819a-4b03-8fb5-a8817c8613fb",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,19010267696600,19010271390600,19010273208700
"781dff37-b1df-4c36-aa31-c4b3fceb5b75",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,19010287423500,19010291512700,19010293639400
"50468868-e443-4d87-a8ba-21e33477dbe2",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,19010306347800,19010310195300,19010311932300
"2426f3b8-6367-46c1-8ca2-d41f857bd171",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,19010323672000,19010327909600,19010329943600
"1561d8ef-adb6-476f-bfed-2daadec0a05a",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,19010341130300,19010345133200,19010346821300
"e553c11f-0353-4388-bf32-ba528b907953",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,19010358440600,19010362456000,19010364063200
"096ab5cf-a6a8-4cfe-a4b1-a5fee672816a",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,19010376283400,19010381067300,19010383003800
"4734f2a5-1ceb-4f9d-a15f-99f2be2b1e4b",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,19010398379300,19010402073900,19010403858100
"2c267799-543c-4738-a983-2b5a69bb0e29",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,19010421493900,19010425020400,19010426513100
"7adbdb18-5d8a-4aeb-aa50-045a1573e759",GET,/images/banner.png,,,200,image/png,,,19010435732800,19010439987900,19010441364800
"3fc4d98c-defe-4706-b66d-98b66190adf3",GET,/images/logo.png,,,200,image/png,,,19010476066400,19010480128000,19010482086600
"c8938aa3-6a83-4a65-9706-36173b475dc1",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,19010499872900,19010503497900,19010504921800
"45fdcc25-e682-40a5-ad0d-77b8a5b0d4ef",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,19010519740300,19010523558400,19010524954300
"129e3c37-5c9e-445b-80fb-a4f9402b89b5",GET,/images/favicon.ico,,,200,image/x-icon,,,19010540847200,19010560434400,19010562213200
"91e3dde3-b31a-47d3-b7cd-38096a1ec267",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=532&username=",,19010572768900,19010585942200,19013198015800
"d861f8bb-36ee-466d-99b7-7d7f3df2d3b0",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,19013239219600,19013242573300,19013243818600
"e596e866-3772-46cc-a536-3541a9f16454",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,19013251914000,19013255515300,19013256864700
"f5305c1d-e3e6-402c-b780-d68e9e934eed",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,19013265444700,19013268793300,19013270139400
"98485b3e-61f3-4c0b-9b99-443748b75137",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,19013278770400,19013281913000,19013283382200
"c920da80-e0f4-40a6-9c7b-0ec0d2f23610",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,19013291313000,19013294443300,19013295494100
"388826d7-ec7a-45b7-926b-eceaa350793c",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,19013303665400,19013306990900,19013308017900
"aa48cb8e-7776-4e54-8598-62ce6ae88e38",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,19013315928700,19013318768800,19013319707300
"e2dbe551-bb79-4d18-a059-ffc750971176",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,19013327818100,19013330890200,19013331910600
"b519ab84-f7d2-4523-a434-cb2339d2a8c3",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,19013339506000,19013342584800,19013343608900
"9eb02ae4-03ed-4a5a-83dd-aa2c7f9b2f77",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,19013351750300,19013354769200,19013355908500
"acda6ffe-5269-4dd6-970e-f48af1ba96fa",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,19013363866300,19013366690100,19013367624800
"63c8bdc7-254c-4a73-ab3e-6753c9dbf4f3",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,19013375420200,19013379609000,19013380961500
"488e395d-f175-42b9-b52d-5a96866ce5a9",GET,/images/banner.png,,,200,image/png,,,19013390530400,19013393856600,19013395062700
"caa674dc-8d04-4ff7-af54-efa8595fe502",GET,/images/logo.png,,,200,image/png,,,19013404438400,19013408641000,19013409967500
"fb192f78-3744-40bf-9789-ac59ff6309ff",POST,"/anonymous/system/sign-in",,"id=&password=technician1&remember=false&username=technician1&version=",302,,,,19013420370300,19013440945800,19013442542400
"858cc10f-4450-4707-9b13-24b3a9797d82",GET,/,,,302,,,,19013450831700,19013456057800,19013457853400
"48a22d00-58be-43f7-a20f-c83bbf9b782c",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=527,,19013464005800,19013468575100,19013884087000
"84d3976f-ee3b-418b-8753-14f3db6dbe2d",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,19013906874300,19013910021200,19013911125800
"c2937715-d1f4-4c9f-b6a2-a592c9ada455",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,19013920128900,19013924742500,19013926189400
"f1af5323-90aa-4466-b2c5-0a22c7249c4a",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,19013934602400,19013937839100,19013939085000
"03b0a0fd-1f99-474c-98d2-4a0fe448c321",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,19013947892900,19013950726600,19013951696200
"ad57f583-63f2-4bdd-ab23-8dfa847c5aaf",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,19013959740100,19013962411200,19013963290800
"22d05c0d-8fa1-48d9-84fd-a4341f6e1cf9",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,19013970861000,19013974439500,19013975316400
"13cb30e0-fde1-4baa-93af-b0980244bf00",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,19013982038700,19013985172900,19013986147200
"11d75f23-c980-45f1-ad47-479ea5f5c52c",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,19013995024000,19013998034100,19013999095700
"831df03a-062a-4eb7-ba63-026ff19a6abd",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,19014008788100,19014012144700,19014013191700
"18320bb4-7ed0-424c-a5ba-40f20d9cc847",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,19014027540400,19014030474800,19014031428300
"914e20ac-def0-4d27-8e9b-02a1d3bc11c5",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,19014038816900,19014041666300,19014042623100
"dd76b8e3-9512-4de1-827a-d1ebac57271b",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,19014050122700,19014052922900,19014053967100
"c2698d66-17b3-4ffb-9f55-c47f355d6624",GET,/images/banner.png,,,200,image/png,,,19014060722000,19014063892900,19014064876800
"f8a983be-f80e-427f-9574-e63f4e7dde2c",GET,/images/logo.png,,,200,image/png,,,19014073513300,19014076934700,19014077995900
